#TrapID	X	Y
TR01	471695	2502268
TR02	469811	2501447
TR03	468938	2500791
TR04	468381	2501243
TR05	471713	2500174
TR06	468505	2540022
TR07	485943	2546084
TR08	483515	2549663
TR09	483554	2552040
TR10	484093	2553615
TR11	482874	2553635
TR12	483386	2557327
TR13	482309	2557978
TR14	481760	2559034
TR15	484625	2526922
TR16	467791	2540523
TR17	481923	2548133
TR18	480950	2547356
TR19	481216	2546225
TR20	480994	2544501
TR21	480276	2543554
TR22	479230	2542862
TR23	479101	2541627
TR24	478233	2540604
TR25	476983	2541013
TR26	481122	2552900
TR27	485031	2537549
TR28	487381	2527695
TR29	487278	2527695
TR30	470310	2509373
TR31	467412	2539422
TR32	466089	2538126
TR33	470814	2512038
TR34	465326	2537560
TR35	469589	2511100
TR36	472914	2512059
TR37	475427	2534572
TR38	474502	2535244
TR51	475941	2509170
TR52	474977	2509690
TR53	473513	2509631
TR54	472894	2509543
TR55	472699	2509314
TR56	470869	2508456
TR57	476672	2509314
TR58	477240	2509066
TR59	469143	2508678
TR60	469595	2508902
TR61	469906	2508617
TR62	470133	2508187
TR63	470578	2508286
TR64	468179	2519138
